classificacao_id,busca_id,termo,modelo_ia,doc_id,ano,edicao,pagina,classificacao,tipo_ato,justificativa,com_contexto,paginas_contexto,tokens_input,tokens_output,created_at,resposta_crua
11,1,Formação profissional,gpt-5.4-mini,11,1977,6631,2,relevante,Outro - Notícia/relato institucional,"O texto menciona a instalação de Centro de Formação Profissional do SENAC e a preparação de técnicos, tratando de educação profissional, embora em formato jornalístico e sem ato normativo específico na página.",False,2,3351,78,2026-06-16T04:56:58.387330+00:00,"{""classificacao"":""relevante"",""tipo_ato"":""Outro - Notícia/relato institucional"",""justificativa"":""O texto menciona a instalação de Centro de Formação Profissional do SENAC e a preparação de técnicos, tratando de educação profissional, embora em formato jornalístico e sem ato normativo específico na página.""}"
12,1,Formação profissional,gpt-5.4-mini,12,1977,6631,1,super_relevante,Outro - Contrato,"A página noticia a assinatura do contrato para construção do Centro de Formação Profissional do SESI em Várzea Grande, ato diretamente ligado à educação profissional.",False,1,2673,66,2026-06-16T04:57:11.232031+00:00,"{""classificacao"":""super_relevante"",""tipo_ato"":""Outro - Contrato"",""justificativa"":""A página noticia a assinatura do contrato para construção do Centro de Formação Profissional do SESI em Várzea Grande, ato diretamente ligado à educação profissional.""}"
13,1,Formação profissional,gpt-5.4-mini,13,1977,6625,15,relevante,Outro - Contrato social/constituição de instituto de educação,"O texto traz a constituição do Instituto de Educação Vitória Furlani da Riva, com objeto social incluindo formação técnico-profissional; trata de instituição educacional ligada ao tema.",False,15,3806,72,2026-06-16T04:57:27.217877+00:00,"{""classificacao"":""relevante"",""tipo_ato"":""Outro - Contrato social/constituição de instituto de educação"",""justificativa"":""O texto traz a constituição do Instituto de Educação Vitória Furlani da Riva, com objeto social incluindo formação técnico-profissional; trata de instituição educacional ligada ao tema.""}"
14,1,Formação profissional,gpt-5.4-mini,14,1977,6590,23,irrelevante,Outro - Acordao do Tribunal de Contas,"A página trata de acórdãos do Tribunal de Contas; a menção ao Centro de Formação Profissional Kolping é apenas prestação de contas, sem criação, autorização, reconhecimento ou regulamentação de curso/instituição de শিক্ষা profissional.",True,"22,23,24",6228,82,2026-06-16T04:57:43.519711+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Acordao do Tribunal de Contas"",""justificativa"":""A página trata de acórdãos do Tribunal de Contas; a menção ao Centro de Formação Profissional Kolping é apenas prestação de contas, sem criação, autorização, reconhecimento ou regulamentação de curso/instituição de শিক্ষা profissional.""}"
15,1,Formação profissional,gpt-5.4-mini,15,1977,6549,26,relevante,Estatuto,"Estatuto da OSEMA menciona expressamente a criação de centros de formação profissional, tema diretamente مرتبطado à educação profissional.",False,26,2440,60,2026-06-16T04:58:00.335369+00:00,"{""classificacao"":""relevante"",""tipo_ato"":""Estatuto"",""justificativa"":""Estatuto da OSEMA menciona expressamente a criação de centros de formação profissional, tema diretamente مرتبطado à educação profissional.""}"
16,1,Formação profissional,gpt-5.4-mini,16,1978,6891,29,relevante,Outro - Convenio,Convênio entre a Fundação CENAFOR e a SEC-MT para realizar cursos de atualização ligados à formação profissional/ensino de 2º grau.,True,"29,30",4553,60,2026-06-16T04:58:20.824576+00:00,"{""classificacao"":""relevante"",""tipo_ato"":""Outro - Convenio"",""justificativa"":""Convênio entre a Fundação CENAFOR e a SEC-MT para realizar cursos de atualização ligados à formação profissional/ensino de 2º grau.""}"
17,1,Formação profissional,gpt-5.4-mini,17,1978,6822,2,irrelevante,Decreto,"O decreto trata de elevação de nível/habilitação de professores do magistério, não de educação profissional, ensino técnico ou curso tecnológico.",False,2,3207,55,2026-06-16T04:58:37.282214+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Decreto"",""justificativa"":""O decreto trata de elevação de nível/habilitação de professores do magistério, não de educação profissional, ensino técnico ou curso tecnológico.""}"
18,1,Formação profissional,gpt-5.4-mini,18,1978,6787,10,relevante,Outro - Acordao,"A página-alvo contém o Acórdão nº 564/78, referente ao Centro de Formação Profissional Kolping e ao registro de convênio, tratando diretamente de formação profissional.",True,"9,10",5184,66,2026-06-16T04:58:49.953749+00:00,"{""classificacao"":""relevante"",""tipo_ato"":""Outro - Acordao"",""justificativa"":""A página-alvo contém o Acórdão nº 564/78, referente ao Centro de Formação Profissional Kolping e ao registro de convênio, tratando diretamente de formação profissional.""}"
19,1,Formação profissional,gpt-5.4-mini,19,1979,7135,2,relevante,Outro - Notícia/Informe sobre formação profissional,"A página traz matéria sobre a Feira de Informação Profissional e descreve o SENAI, seus cursos de formação, qualificação e aperfeiçoamento profissional; não é ato normativo, mas trata diretamente de educação profissional.",False,2,3344,77,2026-06-16T04:59:19.318368+00:00,"{""classificacao"":""relevante"",""tipo_ato"":""Outro - Notícia/Informe sobre formação profissional"",""justificativa"":""A página traz matéria sobre a Feira de Informação Profissional e descreve o SENAI, seus cursos de formação, qualificação e aperfeiçoamento profissional; não é ato normativo, mas trata diretamente de educação profissional.""}"
20,1,Formação profissional,gpt-5.4-mini,20,1979,7125,10,irrelevante,Outro - Contrato,"A pagina-alvo trata de memorial descritivo fundiario e, ao final, apenas menciona contrato de obra do SENAC em outro estado, sem ato sobre curso ou instituicao de educacao profissional em Mato Grosso.",True,"9,10",5098,80,2026-06-16T04:59:44.738191+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Contrato"",""justificativa"":""A pagina-alvo trata de memorial descritivo fundiario e, ao final, apenas menciona contrato de obra do SENAC em outro estado, sem ato sobre curso ou instituicao de educacao profissional em Mato Grosso.""}"
21,1,Formação profissional,gpt-5.4-mini,21,1979,6951,2,relevante,Outro - Notícia/convite sobre inauguração e matrículas do SENAI,"O texto trata da inauguração de unidade do SENAI e da abertura de matrículas em cursos de formação profissional industrial, com descrição de cursos e público-alvo.",False,2,3137,79,2026-06-16T05:00:02.984810+00:00,"{""classificacao"":""relevante"",""tipo_ato"":""Outro - Notícia/convite sobre inauguração e matrículas do SENAI"",""justificativa"":""O texto trata da inauguração de unidade do SENAI e da abertura de matrículas em cursos de formação profissional industrial, com descrição de cursos e público-alvo.""}"
22,1,Formação profissional,gpt-5.4-mini,22,1980,7242,1,irrelevante,Outro - Noticia/nota oficial,"O texto é uma nota oficial e notícias administrativas; a menção à formação técnico-profissional da polícia é contextual e não trata de curso, instituição ou regulamentação de educação profissional/tecnológica.",False,1,2736,71,2026-06-16T05:00:13.622347+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Noticia/nota oficial"",""justificativa"":""O texto é uma nota oficial e notícias administrativas; a menção à formação técnico-profissional da polícia é contextual e não trata de curso, instituição ou regulamentação de educação profissional/tecnológica.""}"
23,1,Formação profissional,gpt-5.4-mini,23,1980,7213,2,irrelevante,Outro - Matéria jornalística,"A página trata principalmente de obras públicas, empresa estatal, EFRIMAT e notícia sobre seminário de ensino de 2º grau sem ato normativo sobre curso técnico/profissional.",False,2,3281,68,2026-06-16T05:00:44.624809+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Matéria jornalística"",""justificativa"":""A página trata principalmente de obras públicas, empresa estatal, EFRIMAT e notícia sobre seminário de ensino de 2º grau sem ato normativo sobre curso técnico/profissional.""}"
24,1,Formação profissional,gpt-5.4-mini,24,1984,8179,17,irrelevante,Outro - Concurso publico,"A página trata de concurso público para Assistente Social no Tribunal de Contas; a menção a 'formação profissional' é apenas requisito/prova do concurso, sem regular curso técnico ou instituição de educação profissional.",False,17,2777,71,2026-06-16T05:01:22.004080+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Concurso publico"",""justificativa"":""A página trata de concurso público para Assistente Social no Tribunal de Contas; a menção a 'formação profissional' é apenas requisito/prova do concurso, sem regular curso técnico ou instituição de educação profissional.""}"
25,1,Formação profissional,gpt-5.4-mini,25,1985,8640,1,relevante,Lei,"Lei que institui o Centro Universitário de Cáceres, com menção à formação profissional e à organização de instituição de ensino superior.",True,"1,2,3",4524,53,2026-06-16T05:01:30.874645+00:00,"{""classificacao"":""relevante"",""tipo_ato"":""Lei"",""justificativa"":""Lei que institui o Centro Universitário de Cáceres, com menção à formação profissional e à organização de instituição de ensino superior.""}"
26,1,Formação profissional,gpt-5.4-mini,26,1985,8576,2,irrelevante,Outro - Noticia/agenda,"A pagina traz noticias e agenda administrativa; a menção à formação profissional no turismo é apenas temática, sem criar, autorizar ou regulamentar curso ou instituição de educação profissional.",False,2,3033,65,2026-06-16T05:01:43.642645+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Noticia/agenda"",""justificativa"":""A pagina traz noticias e agenda administrativa; a menção à formação profissional no turismo é apenas temática, sem criar, autorizar ou regulamentar curso ou instituição de educação profissional.""}"
27,1,Formação profissional,gpt-5.4-mini,27,1985,8533,9,irrelevante,Outro - Extrato de convenio (merenda escolar/PNAE),A página trata de convênios para merenda escolar e apoio ao PNAE; a menção ao SENAI é apenas contextual e não regula curso técnico ou formação profissional.,False,9,2927,74,2026-06-16T05:02:12.413659+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Extrato de convenio (merenda escolar/PNAE)"",""justificativa"":""A página trata de convênios para merenda escolar e apoio ao PNAE; a menção ao SENAI é apenas contextual e não regula curso técnico ou formação profissional.""}"
28,1,Formação profissional,gpt-5.4-mini,28,1985,8502,3,irrelevante,Outro - Distribuicao de boletim educacional,"O texto trata da distribuicao de boletim sobre educacao pre-escolar e formacao de profissionais da area, sem criar, autorizar ou regulamentar educacao profissional/tecnica ou curso tecnico.",False,3,2077,75,2026-06-16T05:02:26.806580+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Distribuicao de boletim educacional"",""justificativa"":""O texto trata da distribuicao de boletim sobre educacao pre-escolar e formacao de profissionais da area, sem criar, autorizar ou regulamentar educacao profissional/tecnica ou curso tecnico.""}"
29,1,Formação profissional,gpt-5.4-mini,29,1986,8891,104,irrelevante,Outro - Edital de concurso,"O trecho relevante trata de edital de concurso do Tribunal de Contas e menciona apenas 'formacao profissional' como conteúdo programático, sem regular curso ou instituição de educação profissional/técnica.",False,104,3009,69,2026-06-16T05:02:47.431942+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Edital de concurso"",""justificativa"":""O trecho relevante trata de edital de concurso do Tribunal de Contas e menciona apenas 'formacao profissional' como conteúdo programático, sem regular curso ou instituição de educação profissional/técnica.""}"
30,1,Formação profissional,gpt-5.4-mini,30,1986,8721,32,irrelevante,Outro - Texto doutrinario/sugestoes legislativas sobre liberdade de imprensa,"A pagina trata de liberdade de imprensa e propostas de alteração da Lei de Imprensa, sem relação com educação profissional, ensino técnico ou cursos tecnológicos.",True,"31,32,33,34",7268,70,2026-06-16T05:03:01.020738+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Texto doutrinario/sugestoes legislativas sobre liberdade de imprensa"",""justificativa"":""A pagina trata de liberdade de imprensa e propostas de alteração da Lei de Imprensa, sem relação com educação profissional, ensino técnico ou cursos tecnológicos.""}"
31,1,Formação profissional,gpt-5.4-mini,31,1987,9101,3,relevante,Outro - Programa educacional rural,"O texto trata da implantação de Escolas Rurais Comunitárias e informa que ao Senar cabe a formação profissional, no contexto de um programa educacional voltado à qualificação rural.",False,3,2506,68,2026-06-16T05:03:14.740592+00:00,"{""classificacao"":""relevante"",""tipo_ato"":""Outro - Programa educacional rural"",""justificativa"":""O texto trata da implantação de Escolas Rurais Comunitárias e informa que ao Senar cabe a formação profissional, no contexto de um programa educacional voltado à qualificação rural.""}"
32,1,Formação profissional,gpt-5.4-mini,32,1987,9042,61,irrelevante,Outro - Estatuto/convocacao associativa,"O texto trata de estatutos de clubes de mães, convocação sindical e empresa de assistência técnica rural; não há ato sobre curso, instituição ou regulamentação de educação profissional/técnica.",False,61,3000,72,2026-06-16T05:03:46.557428+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Estatuto/convocacao associativa"",""justificativa"":""O texto trata de estatutos de clubes de mães, convocação sindical e empresa de assistência técnica rural; não há ato sobre curso, instituição ou regulamentação de educação profissional/técnica.""}"
33,1,Formação profissional,gpt-5.4-mini,33,1987,9032,3,irrelevante,Outro - Processo seletivo de pessoal,"O texto trata de concurso/processo seletivo da EMATER para contratação de extensionistas, apenas mencionando formação exigida; não cria, autoriza ou regulamenta curso técnico/profissional.",False,3,2706,70,2026-06-16T05:03:59.680743+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Processo seletivo de pessoal"",""justificativa"":""O texto trata de concurso/processo seletivo da EMATER para contratação de extensionistas, apenas mencionando formação exigida; não cria, autoriza ou regulamenta curso técnico/profissional.""}"
34,1,Formação profissional,gpt-5.4-mini,34,1987,9026,8,super_relevante,Outro - Edital de concurso,"A página-alvo disciplina a Etapa II do concurso com Curso de Formação Profissional na Academia de Polícia do Estado, incluindo duração, matrícula e regras do curso.",True,"7,8,9",6167,64,2026-06-16T05:04:13.864268+00:00,"{""classificacao"":""super_relevante"",""tipo_ato"":""Outro - Edital de concurso"",""justificativa"":""A página-alvo disciplina a Etapa II do concurso com Curso de Formação Profissional na Academia de Polícia do Estado, incluindo duração, matrícula e regras do curso.""}"
35,1,Formação profissional,gpt-5.4-mini,35,1987,9025,29,irrelevante,Outro - Edital de concurso,"O texto trata de edital de concurso para Polícia Civil e de curso de formação profissional do próprio concurso, sem regulamentar curso técnico/profissionalizante do escopo educacional.",False,29,2501,65,2026-06-16T05:04:19.671503+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Edital de concurso"",""justificativa"":""O texto trata de edital de concurso para Polícia Civil e de curso de formação profissional do próprio concurso, sem regulamentar curso técnico/profissionalizante do escopo educacional.""}"
36,1,Formação profissional,gpt-5.4-mini,36,1987,9025,22,irrelevante,Outro - Edital de concurso,"O texto trata de etapas de concurso e curso de formação profissional da Academia de Polícia, que é curso de formação para o cargo, não ato de educação profissional/ensino técnico no escopo.",False,22,3171,69,2026-06-16T05:04:22.065884+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Edital de concurso"",""justificativa"":""O texto trata de etapas de concurso e curso de formação profissional da Academia de Polícia, que é curso de formação para o cargo, não ato de educação profissional/ensino técnico no escopo.""}"
37,1,Formação profissional,gpt-5.4-mini,37,1987,9025,19,irrelevante,Outro - Edital de concurso,"O texto é um edital de concurso para Delegado de Polícia; a menção a 'Curso de Formação Profissional' é apenas etapa do concurso/capacitação funcional, não ato de educação profissional ou ensino técnico.",False,19,2881,74,2026-06-16T05:04:23.841520+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Edital de concurso"",""justificativa"":""O texto é um edital de concurso para Delegado de Polícia; a menção a 'Curso de Formação Profissional' é apenas etapa do concurso/capacitação funcional, não ato de educação profissional ou ensino técnico.""}"
38,1,Formação profissional,gpt-5.4-mini,38,1987,9025,18,irrelevante,Outro - Edital de concurso,"Trata de curso de formação profissional ligado a concurso/treinamento para cargo policial, não de criação, autorização ou regulamentação de curso técnico/profissionalizante do escopo educacional.",False,18,3071,69,2026-06-16T05:04:25.409315+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Edital de concurso"",""justificativa"":""Trata de curso de formação profissional ligado a concurso/treinamento para cargo policial, não de criação, autorização ou regulamentação de curso técnico/profissionalizante do escopo educacional.""}"
39,1,Formação profissional,gpt-5.4-mini,39,1987,9024,39,irrelevante,Outro - Concurso publico,"O texto trata de edital de concurso e curso de formacao para o cargo policial, nao de educacao profissional/tecnica ou instituicao de ensino tecnico.",False,39,2617,66,2026-06-16T05:04:55.649214+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Concurso publico"",""justificativa"":""O texto trata de edital de concurso e curso de formacao para o cargo policial, nao de educacao profissional/tecnica ou instituicao de ensino tecnico.""}"
40,1,Formação profissional,gpt-5.4-mini,40,1987,9024,38,irrelevante,Outro - Edital de concurso,"A página trata de edital de concurso para cargo policial, com curso de formação profissional como etapa do certame, sem regulamentar curso ou instituição de educação profissional/tecnológica.",True,"38,39",4342,66,2026-06-16T05:05:28.384758+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Edital de concurso"",""justificativa"":""A página trata de edital de concurso para cargo policial, com curso de formação profissional como etapa do certame, sem regulamentar curso ou instituição de educação profissional/tecnológica.""}"
41,1,Formação profissional,gpt-5.4-mini,41,1988,9377,13,irrelevante,Outro - Portaria administrativa de estagio na Procuradoria Geral do Estado,"O texto trata de regimento e portarias sobre estágio profissional na Procuradoria Geral do Estado, sem criar, autorizar ou regulamentar curso técnico/profissionalizante ou instituição de শিক্ষা profissional.",False,13,2496,77,2026-06-16T05:05:41.253160+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Portaria administrativa de estagio na Procuradoria Geral do Estado"",""justificativa"":""O texto trata de regimento e portarias sobre estágio profissional na Procuradoria Geral do Estado, sem criar, autorizar ou regulamentar curso técnico/profissionalizante ou instituição de শিক্ষা profissional.""}"
42,1,Formação profissional,gpt-5.4-mini,42,1988,9199,16,irrelevante,Outro - Desligamento de curso de formacao policial,"O texto trata do desligamento de candidatos de um curso de formação profissional para motorista policial, ligado a concurso/formação para cargo público, sem criar, autorizar ou regulamentar educação profissional técnica.",False,16,2528,74,2026-06-16T05:05:54.571013+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Desligamento de curso de formacao policial"",""justificativa"":""O texto trata do desligamento de candidatos de um curso de formação profissional para motorista policial, ligado a concurso/formação para cargo público, sem criar, autorizar ou regulamentar educação profissional técnica.""}"
43,1,Formação profissional,gpt-5.4-mini,43,1988,9148,2,irrelevante,Outro - Curso de formacao para cargo publico,"O texto trata de curso de formação profissional para futuros delegados da Polícia Civil, voltado ao cargo público, não de educação profissional/ensino técnico no escopo da pesquisa.",False,2,2466,69,2026-06-16T05:06:04.111644+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Curso de formacao para cargo publico"",""justificativa"":""O texto trata de curso de formação profissional para futuros delegados da Polícia Civil, voltado ao cargo público, não de educação profissional/ensino técnico no escopo da pesquisa.""}"
44,1,Formação profissional,gpt-5.4-mini,44,1989,9787,44,irrelevante,Outro - Lei municipal sobre magistério,"Trata da carreira do magistério municipal e de regras de concurso/nomeação de professores do ensino de 1º grau, sem criar, autorizar ou regulamentar curso técnico/profissionalizante.",False,44,3227,74,2026-06-16T05:06:24.780878+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Lei municipal sobre magistério"",""justificativa"":""Trata da carreira do magistério municipal e de regras de concurso/nomeação de professores do ensino de 1º grau, sem criar, autorizar ou regulamentar curso técnico/profissionalizante.""}"
45,1,Formação profissional,gpt-5.4-mini,45,1989,9587,27,irrelevante,Outro - Edital de concurso,"A página-alvo trata de concurso para cargos da Polícia Civil e do curso de formação profissional policial, não de educação profissional/ensino técnico no escopo da pesquisa.",True,"26,27,28",5768,64,2026-06-16T05:06:42.363184+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Edital de concurso"",""justificativa"":""A página-alvo trata de concurso para cargos da Polícia Civil e do curso de formação profissional policial, não de educação profissional/ensino técnico no escopo da pesquisa.""}"
46,1,Formação profissional,gpt-5.4-mini,46,1989,9585,8,irrelevante,Outro - Edital de concurso,"Trata de concurso público e curso de formação para cargo policial, não de criação/autorização/regulamentação de educação profissional ou ensino técnico.",False,8,2717,66,2026-06-16T05:06:53.030714+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Edital de concurso"",""justificativa"":""Trata de concurso público e curso de formação para cargo policial, não de criação/autorização/regulamentação de educação profissional ou ensino técnico.""}"
47,1,Formação profissional,gpt-5.4-mini,47,1989,9585,7,irrelevante,Outro - Edital de concurso,"Trata de edital de concurso e curso de formação profissional para cargos policiais, não de educação profissional/tecnológica como oferta educacional ou instituição de ensino técnico.",False,7,2634,69,2026-06-16T05:07:08.162256+00:00,"{""classificacao"":""irrelevante"",""tipo_ato"":""Outro - Edital de concurso"",""justificativa"":""Trata de edital de concurso e curso de formação profissional para cargos policiais, não de educação profissional/tecnológica como oferta educacional ou instituição de ensino técnico.""}"
48,1,Formação profissional,gpt-5.4-mini,48,1989,9583,11,super_relevante,Outro - Edital de concurso com curso de formação profissional,"A página-alvo trata diretamente do Curso de Formação Profissional da Academia de Polícia Civil, com carga horária e regras do curso, no contexto de concurso para cargos policiais.",True,"9,10,11,12",7496,71,2026-06-16T05:07:19.924885+00:00,"{""classificacao"":""super_relevante"",""tipo_ato"":""Outro - Edital de concurso com curso de formação profissional"",""justificativa"":""A página-alvo trata diretamente do Curso de Formação Profissional da Academia de Polícia Civil, com carga horária e regras do curso, no contexto de concurso para cargos policiais.""}"
49,1,Formação profissional,gpt-5.4-mini,49,1989,9478,2,relevante,Outro - Notícia/inauguração de centro de formação profissional,"A página noticia a inauguração do Centro de Formação Profissional São José, com cursos profissionalizantes rurais e industriais, incluindo técnico agrícola, contabilidade e enfermagem.",False,2,2531,70,2026-06-16T05:07:30.688059+00:00,"{""classificacao"":""relevante"",""tipo_ato"":""Outro - Notícia/inauguração de centro de formação profissional"",""justificativa"":""A página noticia a inauguração do Centro de Formação Profissional São José, com cursos profissionalizantes rurais e industriais, incluindo técnico agrícola, contabilidade e enfermagem.""}"
50,1,Formação profissional,gpt-5.4-mini,50,1989,9454,27,super_relevante,Outro - Ata de assembleia,"A ata trata da criação de uma escola de formação e habilitação profissional, com denominação de Escola Profissionalizante São José e oferta de cursos profissionalizantes.",False,27,2816,63,2026-06-16T05:07:49.640410+00:00,"{""classificacao"":""super_relevante"",""tipo_ato"":""Outro - Ata de assembleia"",""justificativa"":""A ata trata da criação de uma escola de formação e habilitação profissional, com denominação de Escola Profissionalizante São José e oferta de cursos profissionalizantes.""}"
